stop_id,stop_name,zone_id,stop_lat,stop_lon,stop_desc
lvOQPNOO,Kothapalle-Shankarpally,Kothapalle-Shankarpally,17.3739855605249,78.1183717772768,KOTHAPALLY twd Tangedapalle
wLw3XHaw,Kothapalle-Shankarpally,Kothapalle-Shankarpally,17.3741135960029,78.1183288677521,KOTHAPALLY twd Mehdipatnam
cE6jY3OS,Sri Manikeshwari Matha Temple,Sri Manikeshwari Matha Temple,17.3757057573274,78.1313860416412,MANIKESHWARI Matha Temple
Uwv4mg2G,Kammeta Cross Road,Kammeta Cross Road,17.3831981900432,78.1493219812199,KAMETA X ROAD twd Shankarpally
vyAfQugS,Dearlapalle,Dearlapalle,17.40568374007,78.1422329445299,DERLAPALLY Village
9Ir76W5J,Eerlapally Cross Road,Eerlapally Cross Road,17.4054816460459,78.1509581225556,ERLAPALLY X ROAD twd Erlapally Village
vHx7zN6f,Sarvaravulapalle Cross Road-Kandukur,Sarvaravulapalle Cross Road-Kandukur,17.0509393544285,78.5388766229153,SARLARAVULAPALLY X ROAD twd Merkhanpet
YqJIS25g,Virat Nagar,Virat Nagar,17.3979318952252,78.4050001949072,VIRAT NAGAR twd Alizapur
B8kEqI1I,7 Tombs,7 Tombs,17.3980294867249,78.4003371745347,7TOMBS Road Akbar Bagh twd Shaikpet
OIDD1EFI,Shaikpet,Shaikpet,17.4024020195614,78.3804633468389,SHAIKPET ROAD twd Gandipet
6nG6Iyjk,Vinayak Nagar,Vinayak Nagar,17.4008823296644,78.367125391649,VINAYAKNAGAR twd Narsingh
oP2U8YEG,Govt Head Quarters,Govt Head Quarters,17.3998299768189,78.3649952495749,GOVT HEADQUARTERS twd Narsingh
a2vt4L4z,Andhrabank,Andhrabank,17.3976829969791,78.364951462876,ANDHRABANK twd Narsingh
USjOwGsm,Puppalguda,Puppalguda,17.3957736357663,78.36318388309,PUPPALGUDA twd Gandipet
bXlqZawB,Narsinghi,Narsinghi,17.3904765673922,78.3579974994062,NARSINGI ROAD twd Shaikpet
Fx9VQwy4,Andhrabank,Andhrabank,17.39767787655,78.36491525391,ANDHRABANK twd Mehdipatnam
bNZk3Mdb,Govt Head Quarters,Govt Head Quarters,17.3998278462844,78.3649420769337,GOVT HEADQUARTERS twd Mehdipatnam
ROAu6Lwn,Vinayak Nagar,Vinayak Nagar,17.4009335216905,78.3671361201738,VINAYAKNAGAR twd Mehdipatnam
KxVnipPH,Shaikpet,Shaikpet,17.4025111155899,78.3805505186319,SHAIKHPET twd Tolichowki
0UsA9P7A,7 Tombs,7 Tombs,17.3975217452877,78.4006979316473,7 TOMBS CHOWK twd Tolichowki
jDMq77GU,Virat Nagar,Virat Nagar,17.3979952517595,78.4051483869552,VIRAT NAGAR twd Mehdipatnam
yQItmgHB,Puppalguda,Puppalguda,17.4021137625862,78.3734885975718,PUPPALGUDA twd Tolichowki
904sKAfw,Almas Hotel,Almas Hotel,17.34331,78.46614,Almas Hotel twd aramghar
AGuSilpA,Boystown,Boystown,17.344176,78.461821,BoysTown twd Aramghar
A68xPZnw,Kalapattar,Kalapattar,17.345292,78.45647,Kalapattar twd charminar
O1pCaOX3,Boystown,Boystown,17.344195,78.461885,BoysTown twd charminar
sFPYJFGd,Almas Hotel,Almas Hotel,17.343531,78.466024,almas Hotel twd charminar
AilpLs87,Janapriya Colony,Janapriya Colony,17.3178726486286,78.523975503764,JANAPRIYA LENIN NAGAR
